Customer_ID,Customer_Name,Month,Dish_Ordered,Quantity_Ordered,Order_Time,Payment_Method
2216,Priya Sharma,June,Paneer Manchurian,1,Night,Wallet
4356,Rajesh Gupta,August,Chicken Pepper Masala,5,Night,Wallet
1072,Soham Bose,January,Egg Biryani,4,Morning,Wallet
5494,Arvind Das,April,Chicken Masala,2,Morning,Card
7555,Priya Sharma,January,Plain Rice,1,Evening,Card
7876,Arvind Das,January,Masala Rice,3,Night,Cash
3444,Sunita Sen,April,Egg Noodles,5,Night,Wallet
4011,Priya Sharma,November,Chicken Biryani,3,Evening,Wallet
1879,Arvind Das,October,Math Curry,3,Afternoon,UPI
4746,Priya Sharma,April,Ghee Rice,3,Morning,UPI
8008,Anirban Roy,May,Kashmiri Aloo Dum,3,Evening,UPI
1631,Meera Iyer,November,Chicken Fry,2,Evening,Cash
8855,Rajesh Gupta,July,Chicken Biryani,4,Afternoon,Card
4588,Rajesh Gupta,November,Kabab Half (4 Pcs),4,Afternoon,Card
3757,Anirban Roy,December,Paneer Manchurian,1,Afternoon,Card
8521,Arvind Das,May,Idly (3 Pcs),5,Night,Wallet
4040,Rajesh Gupta,December,Paneer Chilly,4,Evening,Cash
9876,Priya Sharma,January,Jeera Rice,3,Afternoon,UPI
9821,Arvind Das,August,Egg Fried Rice,5,Afternoon,Wallet
4508,Anirban Roy,September,Palak Paneer,3,Afternoon,Cash
4671,Arvind Das,February,Omlet (Double),1,Morning,Card
8583,Priya Sharma,August,Butter Chicken,5,Night,Wallet
1824,Priya Sharma,October,Paneer Butter Masala,4,Evening,Cash
2835,Anirban Roy,June,Jeera Rice,4,Afternoon,Card
5631,Meera Iyer,October,Chicken Fry,5,Night,Wallet
6123,Priya Sharma,July,Roti,2,Evening,UPI
4037,Anirban Roy,January,Dhal Fry,2,Night,Card
1107,Meera Iyer,November,Math Curry,4,Night,Cash
8572,Rajesh Gupta,January,Set Dosa (3 Pcs),3,Morning,UPI
2267,Anirban Roy,November,Rohu (Fry/Curry),4,Evening,Card
4905,Priya Sharma,August,Parota,5,Evening,Wallet
7339,Rajesh Gupta,July,Rohu (Fry/Curry),1,Morning,Cash
3959,Sunita Sen,June,Veg Fried Rice,3,Morning,UPI
2114,Priya Sharma,March,Egg Fried Rice,5,Night,Card
6058,Meera Iyer,May,Jeera Rice,1,Morning,Wallet
9797,Arvind Das,September,Math Curry,3,Evening,Cash
2335,Soham Bose,November,Kabab Full (8 Pcs),3,Morning,Wallet
4087,Arvind Das,July,Rohu (Fry/Curry),4,Morning,Cash
5401,Sunita Sen,July,Kabab Full (8 Pcs),4,Night,Card
7930,Sunita Sen,November,Dhal Fry,5,Morning,Card
9430,Rajesh Gupta,February,Tomato Fry,4,Morning,Wallet
3207,Anirban Roy,July,Butter Chicken,3,Evening,UPI
9528,Soham Bose,July,Jeera Rice,4,Afternoon,Cash
4922,Arvind Das,February,Dhal Fry,3,Night,Card
4658,Arvind Das,July,Poori Bajji (3 Pcs),1,Afternoon,Card
7711,Arvind Das,February,Chicken Pepper Masala,2,Evening,UPI
7656,Rajesh Gupta,August,Egg Burji (2 Eggs),3,Night,Cash
8061,Priya Sharma,June,Cylon/Kerala Parota,1,Morning,Cash
3573,Rajesh Gupta,March,Paneer Butter Masala,1,Night,UPI
4486,Anirban Roy,February,Kashmiri Aloo Dum,3,Night,Card
8605,Priya Sharma,September,Egg Biryani,3,Morning,Cash
8335,Soham Bose,August,Cylon/Kerala Parota,5,Morning,Card
4408,Sunita Sen,October,Channa Masala,1,Night,Cash
3732,Sunita Sen,March,Kashmiri Aloo Dum,4,Afternoon,Card
6249,Priya Sharma,March,Onion Dosa,1,Afternoon,Wallet
1193,Arvind Das,September,Chicken Masala,5,Morning,Card
4900,Priya Sharma,November,Channa Masala,1,Evening,UPI
9433,Anirban Roy,December,Jeera Rice,2,Morning,Wallet
5910,Sunita Sen,February,Rohu (Fry/Curry),2,Morning,Card
4400,Meera Iyer,April,Jeera Rice,1,Morning,UPI
4772,Priya Sharma,September,Chicken Noodles,4,Night,Cash
2203,Sunita Sen,May,Chicken Do Pyaza,1,Afternoon,UPI
6081,Sunita Sen,February,Ghee Rice,5,Night,UPI
2272,Priya Sharma,February,Butter Chicken,5,Afternoon,Card
3833,Anirban Roy,April,Butter Dhal Fry,5,Night,UPI
8300,Sunita Sen,September,Egg Fried Rice,5,Night,Card
4941,Meera Iyer,September,Kabab Half (4 Pcs),3,Evening,Card
2570,Sunita Sen,June,Chicken Fried Rice,2,Afternoon,Card
9523,Priya Sharma,September,Butter Chicken,1,Night,Card
9428,Priya Sharma,August,Omlet (Double),1,Afternoon,Card
9004,Arvind Das,February,Chilly Chicken (Half 6 Pcs),5,Morning,Wallet
5224,Meera Iyer,August,Bangda Fry (Ayala),1,Morning,Cash
1926,Sunita Sen,September,Masala Dosa,2,Evening,UPI
8436,Rajesh Gupta,October,Katla (Fry/Curry),1,Night,Card
1597,Arvind Das,July,Mutton Masala (Kosha/Fry/Kadai),3,Afternoon,Wallet
8328,Arvind Das,December,Kashmiri Aloo Dum,3,Morning,Cash
1676,Meera Iyer,July,Parota,4,Night,Cash
9651,Anirban Roy,March,Paneer Butter Masala,1,Afternoon,Wallet
1851,Sunita Sen,January,Masala Rice,3,Afternoon,UPI
4159,Rajesh Gupta,November,Masala Rice,1,Night,Wallet
8627,Soham Bose,July,Egg Torka,4,Afternoon,Wallet
7223,Priya Sharma,May,Mutton Biryani,2,Night,Card
4724,Rajesh Gupta,March,Jeera Rice,1,Night,Wallet
6454,Sunita Sen,March,Butter Dhal Fry,3,Morning,UPI
1624,Soham Bose,July,Gobi Manchurian,1,Evening,Wallet
4561,Sunita Sen,July,Channa Masala,2,Evening,Cash
4763,Priya Sharma,March,Aloo Mutter/Aloo Gobi,5,Night,UPI
3235,Meera Iyer,February,Egg Masala (Double),1,Night,UPI
8812,Rajesh Gupta,June,Chicken Masala,5,Night,UPI
7239,Arvind Das,February,Bangda Fry (Ayala),1,Evening,Card
6611,Arvind Das,March,Egg Burji (2 Eggs),4,Morning,Card
8474,Soham Bose,September,Egg Burji (2 Eggs),3,Night,Card
6405,Priya Sharma,March,Dhal Fry,1,Night,Card
5599,Arvind Das,December,Mutter Paneer,2,Night,UPI
9901,Soham Bose,August,Chicken Fry,4,Afternoon,UPI
7862,Meera Iyer,January,Palak Paneer,3,Morning,Cash
9415,Meera Iyer,April,Katla (Fry/Curry),4,Night,Card
7315,Priya Sharma,September,Idly (3 Pcs),4,Night,Wallet
9677,Sunita Sen,June,Paneer Chilly,5,Evening,Wallet
4405,Arvind Das,January,Chicken Curry,1,Morning,UPI
1500,Arvind Das,July,Chicken Masala,2,Afternoon,Wallet
2588,Anirban Roy,September,Chilly Chicken (Half 6 Pcs),5,Afternoon,Card
6159,Meera Iyer,May,Chicken Do Pyaza,4,Evening,Cash
9720,Priya Sharma,March,Roti,1,Night,Card
6954,Anirban Roy,January,Set Dosa (3 Pcs),3,Morning,Card
7367,Arvind Das,March,Math Curry,2,Afternoon,Cash
9604,Rajesh Gupta,December,Egg Burji (2 Eggs),3,Morning,Wallet
9645,Sunita Sen,November,Aloo Posto,3,Evening,Wallet
8004,Rajesh Gupta,August,Chicken Do Pyaza,5,Afternoon,Wallet
9111,Rajesh Gupta,March,Roti,2,Evening,Cash
6972,Meera Iyer,January,Egg Torka,5,Evening,Cash
1573,Arvind Das,December,Veg Fried Rice,2,Morning,UPI
7991,Priya Sharma,February,Egg Chilly,1,Afternoon,UPI
8114,Priya Sharma,March,Channa Masala,2,Evening,Cash
2929,Anirban Roy,July,Mutton Biryani,2,Evening,Cash
8679,Anirban Roy,October,Mutton Biryani,2,Evening,Cash
3229,Meera Iyer,July,Kabab Full (8 Pcs),1,Night,Cash
6163,Soham Bose,April,Chilly Chicken (Full 12 Pcs),3,Night,Wallet
8292,Sunita Sen,September,Paneer Butter Masala,3,Evening,Cash
8409,Rajesh Gupta,March,Dhal Fry,5,Night,UPI
1340,Arvind Das,June,Channa Masala,2,Night,Wallet
1924,Soham Bose,June,Egg Fried Rice,4,Night,UPI
7024,Priya Sharma,January,Paneer Chilly,3,Evening,Card
9497,Sunita Sen,March,Kashmiri Aloo Dum,3,Evening,Card
8786,Priya Sharma,October,Chicken Fry,4,Night,UPI
3987,Arvind Das,April,Aloo Mutter/Aloo Gobi,5,Evening,Cash
8763,Arvind Das,December,Omlet (Single),4,Afternoon,UPI
9599,Rajesh Gupta,April,Plain Dosa (2 Pcs),5,Evening,Card
2621,Anirban Roy,June,Veg Fried Rice,1,Afternoon,UPI
5905,Sunita Sen,November,Chicken Biryani,2,Morning,Wallet
4750,Priya Sharma,July,Idly (3 Pcs),1,Evening,Wallet
1862,Soham Bose,August,Math Curry,2,Afternoon,Card
1847,Rajesh Gupta,August,Chicken Biryani,4,Night,Wallet
6111,Meera Iyer,October,Chicken Fry,3,Night,UPI
5791,Anirban Roy,May,Dhal Fry,5,Afternoon,UPI
9142,Soham Bose,February,Kabab Full (8 Pcs),1,Afternoon,UPI
6668,Soham Bose,February,Chicken Kosha,1,Morning,Cash
5393,Soham Bose,November,Chicken Fried Rice,3,Night,Card
7838,Rajesh Gupta,March,Plain Rice,3,Night,UPI
2777,Soham Bose,April,Channa Masala,1,Afternoon,Cash
3363,Priya Sharma,November,Chicken Noodles,3,Afternoon,Card
8598,Anirban Roy,April,Jeera Rice,1,Afternoon,Cash
6348,Soham Bose,May,Paneer Butter Masala,1,Morning,Card
1513,Arvind Das,September,Veg Noodles,1,Evening,UPI
1604,Soham Bose,May,Jeera Rice,2,Evening,UPI
7345,Priya Sharma,September,Egg Fried Rice,3,Night,Wallet
4440,Anirban Roy,June,Kashmiri Aloo Dum,5,Evening,Card
2612,Sunita Sen,January,Chicken Pepper Masala,4,Morning,UPI
2521,Priya Sharma,December,Parota,3,Afternoon,Wallet
2973,Arvind Das,November,Paneer Chilly,2,Afternoon,Card
1646,Arvind Das,September,Paneer Manchurian,2,Evening,Cash
1642,Anirban Roy,April,Butter Chicken,1,Evening,UPI
7783,Arvind Das,June,Roti,2,Afternoon,Cash
5213,Priya Sharma,April,Mutton Biryani,3,Morning,Wallet
6275,Priya Sharma,December,Bangda Fry (Ayala),2,Afternoon,Wallet
7030,Meera Iyer,February,Veg Fried Rice,4,Afternoon,UPI
1243,Sunita Sen,June,Parota,1,Night,Cash
8762,Meera Iyer,May,Chicken Masala,5,Morning,UPI
3185,Soham Bose,October,Chicken Curry,3,Afternoon,Wallet
7917,Rajesh Gupta,December,Chicken Pepper Masala,5,Night,Wallet
8779,Sunita Sen,August,Roti,1,Evening,UPI
8903,Soham Bose,August,Chilly Chicken (Full 12 Pcs),5,Morning,UPI
1253,Soham Bose,February,Mutter Paneer,1,Afternoon,Card
7909,Rajesh Gupta,September,Katla (Fry/Curry),5,Evening,Cash
4255,Anirban Roy,June,Roti,5,Morning,Card
9896,Meera Iyer,July,Kabab Full (8 Pcs),1,Afternoon,Cash
5196,Priya Sharma,June,Veg Noodles,3,Night,Card
1228,Anirban Roy,July,Chicken Masala,4,Afternoon,Wallet
9532,Soham Bose,September,Paneer Butter Masala,1,Night,UPI
8354,Sunita Sen,February,Masala Rice,2,Night,UPI
4044,Rajesh Gupta,June,Roti,3,Night,Card
3225,Sunita Sen,December,Plain Dosa (2 Pcs),5,Afternoon,UPI
9298,Rajesh Gupta,July,Mutton Masala (Kosha/Fry/Kadai),1,Evening,Wallet
1420,Arvind Das,October,Egg Masala (Double),5,Afternoon,Card
3135,Arvind Das,May,Egg Torka,3,Afternoon,Card
6186,Rajesh Gupta,November,Egg Masala (Double),3,Afternoon,Cash
9588,Soham Bose,March,Katla (Fry/Curry),3,Afternoon,UPI
8867,Priya Sharma,January,Egg Chilly,5,Evening,UPI
5833,Arvind Das,May,Masala Rice,1,Afternoon,UPI
8382,Priya Sharma,August,Paneer Butter Masala,1,Afternoon,Cash
5623,Arvind Das,August,Veg Fried Rice,4,Night,Card
7162,Anirban Roy,September,Rohu (Fry/Curry),1,Afternoon,Cash
4448,Rajesh Gupta,November,Chicken Fried Rice,5,Morning,Wallet
7419,Priya Sharma,January,Plain Rice,1,Morning,Cash
5437,Arvind Das,February,Math Curry,5,Morning,Card
8850,Rajesh Gupta,November,Aloo Posto,4,Afternoon,Wallet
4847,Priya Sharma,February,Egg Noodles,4,Morning,Wallet
9099,Priya Sharma,October,Omlet (Double),5,Evening,UPI
9207,Soham Bose,June,Green Peas Masala,1,Morning,Card
6812,Priya Sharma,March,Butter Dhal Fry,3,Afternoon,UPI
6386,Anirban Roy,June,Egg Fried Rice,3,Night,Card
8901,Anirban Roy,February,Aloo Posto,2,Afternoon,Card
6029,Rajesh Gupta,December,Poori Bajji (3 Pcs),3,Afternoon,Card
6733,Priya Sharma,December,Paneer Butter Masala,1,Afternoon,Card
3923,Meera Iyer,June,Palak Paneer,2,Evening,Cash
6840,Rajesh Gupta,March,Egg Masala (Single),1,Afternoon,Wallet
7937,Priya Sharma,October,Egg Torka,3,Evening,Card
9640,Soham Bose,April,Chicken Fried Rice,2,Night,UPI
8386,Sunita Sen,September,Chicken Fry,2,Morning,UPI
1415,Priya Sharma,December,Idly (3 Pcs),3,Afternoon,Card
4908,Arvind Das,September,Egg Noodles,5,Afternoon,Cash
2407,Soham Bose,July,Aloo Posto,1,Evening,Wallet
4939,Sunita Sen,February,Chilly Chicken (Half 6 Pcs),4,Night,Wallet
4902,Anirban Roy,November,Dhal Fry,5,Night,Cash
7785,Sunita Sen,August,Idly (3 Pcs),4,Evening,Wallet
5202,Sunita Sen,October,Math Curry,4,Evening,UPI
1177,Soham Bose,July,Jeera Rice,4,Night,Cash
9553,Rajesh Gupta,October,Aloo Mutter/Aloo Gobi,1,Morning,Card
1717,Anirban Roy,December,Idly (3 Pcs),3,Evening,Card
3294,Arvind Das,September,Butter Dhal Fry,3,Afternoon,Card
7317,Meera Iyer,September,Green Peas Masala,3,Night,Card
9818,Rajesh Gupta,October,Chicken Pepper Masala,1,Night,UPI
1785,Sunita Sen,March,Veg Meals,4,Morning,Card
7914,Anirban Roy,November,Egg Torka,2,Night,Cash
2405,Meera Iyer,May,Egg Chilly,1,Evening,Cash
5787,Soham Bose,July,Gobi Manchurian,2,Morning,UPI
4248,Arvind Das,March,Chicken Curry,4,Evening,Card
1296,Anirban Roy,November,Masala Rice,3,Night,Card
7750,Sunita Sen,April,Chilly Chicken (Half 6 Pcs),1,Night,Cash
5919,Anirban Roy,July,Mutton Biryani,5,Morning,UPI
7133,Anirban Roy,November,Onion Dosa,1,Afternoon,Cash
8130,Anirban Roy,July,Onion Dosa,2,Evening,Wallet
1497,Priya Sharma,January,Aloo Mutter/Aloo Gobi,1,Morning,Wallet
7629,Rajesh Gupta,May,Chicken Fried Rice,3,Afternoon,Cash
2353,Sunita Sen,July,Mutton Biryani,1,Morning,Card
9494,Soham Bose,August,Kabab Full (8 Pcs),5,Evening,Card
2082,Sunita Sen,September,Chicken Noodles,3,Evening,UPI
1079,Anirban Roy,September,Parota,2,Night,Card
1612,Meera Iyer,December,Onion Dosa,2,Afternoon,Cash
9299,Sunita Sen,May,Veg Noodles,3,Morning,UPI
2303,Arvind Das,July,Kabab Half (4 Pcs),4,Evening,Card
8575,Sunita Sen,September,Tomato Fry,1,Afternoon,Cash
5720,Rajesh Gupta,September,Poori Bajji (3 Pcs),5,Night,Card
2787,Meera Iyer,November,Chicken Fried Rice,5,Evening,Wallet
1092,Priya Sharma,October,Kabab Full (8 Pcs),4,Morning,Wallet
8815,Anirban Roy,August,Channa Masala,2,Afternoon,Card
6247,Arvind Das,August,Egg Burji (2 Eggs),2,Evening,Wallet
7439,Anirban Roy,November,Paneer Manchurian,3,Night,UPI
1907,Priya Sharma,March,Chicken Pepper Masala,5,Evening,UPI
1356,Arvind Das,August,Chicken Masala,3,Morning,UPI
8289,Rajesh Gupta,November,Veg Fried Rice,4,Morning,Cash
1906,Rajesh Gupta,December,Egg Burji (2 Eggs),3,Evening,Cash
2538,Soham Bose,September,Chicken Fried Rice,1,Afternoon,Wallet
3003,Meera Iyer,November,Veg Meals,4,Night,Card
8558,Rajesh Gupta,August,Plain Rice,2,Morning,Card
8603,Sunita Sen,September,Green Peas Masala,5,Morning,Card
2496,Priya Sharma,June,Plain Dosa (2 Pcs),3,Morning,Cash
1281,Priya Sharma,October,Egg Chilly,3,Night,Wallet
9759,Arvind Das,March,Math Curry,5,Morning,UPI
5521,Meera Iyer,May,Onion Dosa,4,Night,UPI
7264,Anirban Roy,May,Veg Noodles,2,Evening,Card
5629,Sunita Sen,January,Bangda Fry (Ayala),3,Night,UPI
8955,Sunita Sen,June,Gobi Manchurian,5,Morning,Card
1001,Priya Sharma,November,Chicken Do Pyaza,5,Evening,Wallet
7251,Anirban Roy,May,Paneer Chilly,4,Morning,Card
3200,Arvind Das,February,Chilly Chicken (Half 6 Pcs),1,Night,Cash
2675,Meera Iyer,November,Egg Chilly,1,Evening,Wallet
5090,Meera Iyer,February,Kabab Full (8 Pcs),2,Night,UPI
2347,Soham Bose,November,Chicken Kosha,1,Morning,Cash
2795,Anirban Roy,September,Chilly Chicken (Half 6 Pcs),1,Morning,Wallet
7427,Priya Sharma,November,Green Peas Masala,2,Afternoon,Cash
9408,Priya Sharma,November,Masala Dosa,5,Evening,Card
2249,Meera Iyer,August,Chicken Fry,2,Afternoon,Card
3380,Arvind Das,August,Omlet (Single),3,Night,Wallet
6926,Rajesh Gupta,April,Chicken Biryani,4,Evening,Card
6796,Soham Bose,January,Chicken Curry,2,Morning,Card
4813,Soham Bose,May,Dhal Fry,4,Evening,UPI
5771,Meera Iyer,August,Egg Burji (2 Eggs),4,Night,Card
5570,Sunita Sen,December,Mutton Masala (Kosha/Fry/Kadai),2,Evening,Card
6255,Arvind Das,September,Paneer Butter Masala,2,Night,UPI
8722,Arvind Das,May,Egg Noodles,2,Evening,UPI
9723,Meera Iyer,February,Set Dosa (3 Pcs),5,Morning,UPI
3937,Rajesh Gupta,September,Ghee Rice,5,Morning,Wallet
1067,Meera Iyer,November,Omlet (Double),4,Morning,UPI
9935,Rajesh Gupta,March,Mutter Paneer,2,Morning,Cash
7822,Meera Iyer,October,Chicken Masala,3,Night,UPI
4637,Anirban Roy,August,Omlet (Double),1,Afternoon,Cash
9847,Sunita Sen,June,Ghee Rice,1,Morning,Card
1267,Priya Sharma,November,Masala Rice,5,Afternoon,Card
4253,Meera Iyer,April,Butter Chicken,1,Afternoon,Card
6042,Soham Bose,February,Egg Noodles,2,Afternoon,UPI
2134,Rajesh Gupta,April,Butter Dhal Fry,2,Morning,UPI
3286,Anirban Roy,June,Palak Paneer,4,Afternoon,Wallet
3885,Anirban Roy,April,Egg Burji (2 Eggs),2,Morning,Wallet
6133,Priya Sharma,March,Jeera Rice,3,Night,Wallet
1927,Priya Sharma,August,Aloo Posto,3,Evening,Card
9034,Meera Iyer,November,Paneer Manchurian,3,Morning,Cash
6007,Arvind Das,March,Egg Masala (Single),2,Evening,UPI
3313,Arvind Das,December,Omlet (Double),5,Evening,UPI
5422,Meera Iyer,May,Veg Fried Rice,2,Afternoon,UPI
7379,Anirban Roy,March,Roti,4,Morning,Cash
6981,Rajesh Gupta,November,Kabab Full (8 Pcs),4,Evening,UPI
6759,Meera Iyer,January,Channa Masala,4,Afternoon,UPI
2667,Meera Iyer,February,Egg Torka,5,Night,Card
3494,Soham Bose,November,Egg Masala (Double),3,Night,Card
2781,Arvind Das,July,Katla (Fry/Curry),1,Night,UPI
5351,Meera Iyer,July,Chicken Curry,3,Night,UPI
6294,Sunita Sen,April,Paneer Chilly,1,Afternoon,Cash
2514,Soham Bose,December,Plain Rice,4,Afternoon,Card
8940,Rajesh Gupta,September,Egg Noodles,3,Morning,Card
3608,Priya Sharma,December,Cylon/Kerala Parota,2,Evening,Wallet
2046,Rajesh Gupta,August,Katla (Fry/Curry),1,Night,Wallet
5338,Priya Sharma,September,Onion Dosa,2,Afternoon,Wallet
4434,Priya Sharma,February,Poori Bajji (3 Pcs),2,Evening,Cash
2296,Priya Sharma,May,Chicken Curry,3,Afternoon,Card
9401,Priya Sharma,April,Plain Dosa (2 Pcs),4,Night,Cash
8038,Sunita Sen,April,Set Dosa (3 Pcs),3,Afternoon,Wallet
1447,Priya Sharma,July,Mutton Masala (Kosha/Fry/Kadai),5,Morning,UPI
1324,Rajesh Gupta,February,Gobi Manchurian,5,Night,Card
1216,Sunita Sen,April,Parota,2,Evening,UPI
3829,Meera Iyer,January,Veg Meals,5,Night,UPI
3920,Priya Sharma,July,Rohu (Fry/Curry),1,Night,UPI
2806,Priya Sharma,November,Parota,5,Afternoon,UPI
6910,Priya Sharma,September,Tomato Fry,3,Evening,UPI
6908,Arvind Das,October,Paneer Butter Masala,2,Evening,Wallet
9890,Anirban Roy,January,Chicken Do Pyaza,1,Morning,UPI
1512,Sunita Sen,January,Rohu (Fry/Curry),1,Afternoon,Cash
3403,Sunita Sen,May,Chicken Fried Rice,4,Evening,Cash
3821,Anirban Roy,February,Chicken Biryani,1,Afternoon,Card
6778,Priya Sharma,April,Chicken Biryani,5,Night,Card
6120,Soham Bose,November,Poori Bajji (3 Pcs),3,Morning,Card
6776,Priya Sharma,July,Tomato Fry,5,Evening,Card
4627,Soham Bose,November,Dhal Fry,2,Afternoon,UPI
4147,Rajesh Gupta,November,Set Dosa (3 Pcs),3,Night,UPI
7496,Priya Sharma,July,Chilly Chicken (Half 6 Pcs),4,Afternoon,Wallet
9721,Rajesh Gupta,July,Egg Noodles,4,Morning,UPI
5539,Anirban Roy,December,Veg Fried Rice,2,Afternoon,Cash
4454,Priya Sharma,December,Chilly Chicken (Half 6 Pcs),4,Afternoon,Card
7310,Rajesh Gupta,May,Chicken Kosha,5,Evening,Card
2093,Sunita Sen,January,Set Dosa (3 Pcs),5,Evening,Cash
2804,Arvind Das,February,Egg Torka,4,Morning,Cash
2556,Priya Sharma,January,Gobi Manchurian,3,Night,Cash
1423,Meera Iyer,August,Mutton Biryani,5,Afternoon,Card
3739,Priya Sharma,March,Egg Masala (Double),1,Morning,Wallet
3691,Rajesh Gupta,February,Kashmiri Aloo Dum,3,Morning,Cash
5521,Arvind Das,November,Omlet (Single),1,Evening,Wallet
1719,Arvind Das,January,Gobi Manchurian,5,Morning,UPI
2544,Anirban Roy,March,Omlet (Single),3,Night,UPI
2223,Anirban Roy,December,Aloo Posto,4,Night,UPI
5814,Soham Bose,April,Chicken Kosha,4,Afternoon,Wallet
5236,Soham Bose,June,Butter Chicken,1,Night,Card
2005,Priya Sharma,March,Egg Biryani,3,Morning,UPI
5718,Rajesh Gupta,September,Egg Noodles,5,Evening,Cash
1407,Rajesh Gupta,August,Katla (Fry/Curry),2,Afternoon,Card
8692,Rajesh Gupta,October,Aloo Posto,3,Night,Cash
7997,Anirban Roy,August,Chicken Masala,2,Morning,UPI
8533,Sunita Sen,October,Chicken Fried Rice,4,Morning,Card
4515,Priya Sharma,October,Veg Meals,4,Evening,Wallet
4843,Priya Sharma,March,Roti,1,Night,Wallet
1339,Priya Sharma,September,Egg Chilly,2,Morning,UPI
4724,Rajesh Gupta,February,Mutton Masala (Kosha/Fry/Kadai),5,Evening,Wallet
4162,Arvind Das,June,Chicken Noodles,4,Evening,UPI
5947,Rajesh Gupta,December,Veg Meals,5,Evening,Wallet
2867,Rajesh Gupta,July,Paneer Manchurian,1,Evening,Card
6990,Anirban Roy,August,Chilly Chicken (Full 12 Pcs),3,Afternoon,Cash
9281,Arvind Das,August,Chicken Fried Rice,2,Morning,UPI
6231,Meera Iyer,July,Rohu (Fry/Curry),2,Morning,Cash
9332,Sunita Sen,August,Green Peas Masala,4,Morning,Wallet
9889,Rajesh Gupta,April,Butter Chicken,2,Evening,UPI
9853,Meera Iyer,September,Chicken Curry,5,Afternoon,Cash
7717,Priya Sharma,February,Chicken Kosha,5,Evening,Wallet
8679,Priya Sharma,December,Masala Rice,4,Morning,Wallet
3057,Soham Bose,August,Masala Rice,1,Morning,UPI
4772,Soham Bose,January,Omlet (Single),5,Morning,Wallet
6822,Rajesh Gupta,October,Masala Rice,5,Night,UPI
9243,Rajesh Gupta,November,Egg Noodles,3,Morning,Cash
6833,Rajesh Gupta,March,Egg Torka,2,Afternoon,Wallet
4839,Soham Bose,July,Egg Masala (Single),1,Morning,Card
8811,Anirban Roy,February,Palak Paneer,2,Afternoon,UPI
4164,Priya Sharma,October,Paneer Manchurian,2,Afternoon,Cash
2587,Rajesh Gupta,January,Chicken Pepper Masala,4,Morning,Cash
3523,Rajesh Gupta,May,Veg Noodles,1,Afternoon,Cash
2064,Arvind Das,March,Chilly Chicken (Full 12 Pcs),4,Morning,Card
1108,Meera Iyer,August,Egg Noodles,4,Evening,Card
2777,Priya Sharma,January,Veg Fried Rice,4,Evening,Card
4361,Anirban Roy,July,Paneer Butter Masala,2,Night,UPI
6228,Meera Iyer,February,Kashmiri Aloo Dum,5,Night,Card
2277,Meera Iyer,April,Egg Torka,2,Evening,Card
5078,Anirban Roy,September,Egg Masala (Double),4,Evening,Cash
5392,Soham Bose,March,Poori Bajji (3 Pcs),1,Afternoon,Wallet
2834,Sunita Sen,May,Mutton Biryani,2,Evening,Wallet
4714,Arvind Das,August,Paneer Manchurian,3,Night,Wallet
5963,Soham Bose,March,Chilly Chicken (Full 12 Pcs),4,Morning,UPI
4695,Meera Iyer,November,Paneer Butter Masala,5,Night,UPI
5575,Rajesh Gupta,April,Butter Dhal Fry,1,Night,Card
